	Gamma	n	P	alpha	m	l	Re	Im
122	B2	1	(1, 0, -1)	1	1	1	0.5	0.0
123	B2	1	(1, 0, 1)	1	-1	1	-0.5	0.0
124	B2	1	(1, 0, 1)	1	0	1	0.7071067811865476	0.0
125	B2	1	(1, 0, 1)	1	1	1	0.5	0.0
126	B2	1	(1, 1, 0)	1	-1	1	-0.5	0.5
127	B2	1	(1, 1, 0)	1	1	1	0.5	0.5
128	E	1	(-1, -1, -1)	1	-1	1	0.5576775358252052	-0.5576775358252052
129	E	1	(-1, -1, -1)	1	0	1	0.0	0.5773502691896257
130	E	1	(-1, -1, -1)	1	1	1	-0.14942924536134228	-0.14942924536134228
134	E	1	(-1, -1, -1)	2	-1	1	0.14942924536134228	-0.14942924536134228
135	E	1	(-1, -1, -1)	2	0	1	0.0	-0.5773502691896257
136	E	1	(-1, -1, -1)	2	1	1	-0.5576775358252052	-0.5576775358252052
140	E	1	(-1, -1, 1)	1	-1	1	-0.14942924536134228	0.14942924536134228
141	E	1	(-1, -1, 1)	1	0	1	0.0	-0.5773502691896257
142	E	1	(-1, -1, 1)	1	1	1	0.5576775358252052	0.5576775358252052
146	E	1	(-1, -1, 1)	2	-1	1	-0.5576775358252052	0.5576775358252052
147	E	1	(-1, -1, 1)	2	0	1	0.0	0.5773502691896257
148	E	1	(-1, -1, 1)	2	1	1	0.14942924536134228	0.14942924536134228
152	E	1	(-1, 0, 0)	1	-1	1	0.3535533905932738	0.3535533905932738
153	E	1	(-1, 0, 0)	1	0	1	0.5	-0.5
154	E	1	(-1, 0, 0)	1	1	1	0.3535533905932738	0.3535533905932738
158	E	1	(-1, 0, 0)	2	-1	1	0.0	-0.5
159	E	1	(-1, 0, 0)	2	0	1	0.0	-0.7071067811865476
160	E	1	(-1, 0, 0)	2	1	1	0.0	-0.5
164	E	1	(-1, 1, -1)	1	-1	1	-0.20412414523193148	0.7618016810571367
165	E	1	(-1, 1, -1)	1	0	1	0.5	-0.28867513459481287
166	E	1	(-1, 1, -1)	1	1	1	-0.20412414523193148	-0.05469489987058923
170	E	1	(-1, 1, -1)	2	-1	1	0.2041241452319315	-0.05469489987058923
171	E	1	(-1, 1, -1)	2	0	1	0.5	0.28867513459481287
172	E	1	(-1, 1, -1)	2	1	1	0.20412414523193148	0.7618016810571367
176	E	1	(-1, 1, 1)	1	-1	1	0.14942924536134228	0.14942924536134228
177	E	1	(-1, 1, 1)	1	0	1	0.0	-0.5773502691896257
178	E	1	(-1, 1, 1)	1	1	1	-0.5576775358252052	0.5576775358252052
182	E	1	(-1, 1, 1)	2	-1	1	0.5576775358252052	0.5576775358252052
183	E	1	(-1, 1, 1)	2	0	1	0.0	0.5773502691896257
184	E	1	(-1, 1, 1)	2	1	1	-0.14942924536134228	0.14942924536134228
188	E	1	(-2, 0, 0)	1	-1	1	0.3535533905932738	0.3535533905932738
189	E	1	(-2, 0, 0)	1	0	1	0.5	-0.5
190	E	1	(-2, 0, 0)	1	1	1	0.3535533905932738	0.3535533905932738
194	E	1	(-2, 0, 0)	2	-1	1	0.0	-0.5
195	E	1	(-2, 0, 0)	2	0	1	0.0	-0.7071067811865476
196	E	1	(-2, 0, 0)	2	1	1	0.0	-0.5
200	E	1	(0, -1, 0)	1	-1	1	0.3535533905932738	-0.3535533905932738
201	E	1	(0, -1, 0)	1	0	1	0.5	-0.5
202	E	1	(0, -1, 0)	1	1	1	-0.3535533905932738	0.3535533905932738
206	E	1	(0, -1, 0)	2	-1	1	0.0	-0.5
207	E	1	(0, -1, 0)	2	0	1	-0.7071067811865476	0.0
208	E	1	(0, -1, 0)	2	1	1	0.0	0.5
212	E	1	(0, -2, 0)	1	-1	1	0.3535533905932738	-0.3535533905932738
213	E	1	(0, -2, 0)	1	0	1	0.5	-0.5
214	E	1	(0, -2, 0)	1	1	1	-0.3535533905932738	0.3535533905932738
218	E	1	(0, -2, 0)	2	-1	1	0.0	-0.5
219	E	1	(0, -2, 0)	2	0	1	-0.7071067811865476	0.0
220	E	1	(0, -2, 0)	2	1	1	0.0	0.5
224	E	1	(0, 0, -1)	1	-1	1	-0.7071067811865476	0.0
225	E	1	(0, 0, -1)	1	1	1	0.0	-0.7071067811865476
227	E	1	(0, 0, -1)	2	-1	1	0.0	1.0
230	E	1	(0, 0, -2)	1	-1	1	-0.7071067811865476	0.0
231	E	1	(0, 0, -2)	1	1	1	0.0	-0.7071067811865476
233	E	1	(0, 0, -2)	2	-1	1	0.0	1.0
236	E	1	(0, 0, 1)	1	-1	1	0.7071067811865476	0.0
237	E	1	(0, 0, 1)	1	1	1	0.0	0.7071067811865476
239	E	1	(0, 0, 1)	2	-1	1	0.0	-1.0
