Irrep 	 alpha 	 beta 	 name 	 coefficient 	  p^1 	 p^2 	 q
E	2	2	C4z-	1/4*I	"(0, 0, 0)"	"(0, 0, 1)"	"(0.000000, 0.000000, -0.500000)"
E	2	2	C2z	-1/4	"(0, 0, 0)"	"(0, 0, 1)"	"(0.000000, 0.000000, -0.500000)"
E	2	2	E	1/4	"(0, 1, 1)"	"(0, -1, 0)"	"(0.000000, 1.000000, 0.500000)"
E	2	2	C4z+	-1/4*I	"(-1, 0, 1)"	"(1, 0, 0)"	"(0.000000, 1.000000, 0.500000)"
E	2	2	C4z-	1/4*I	"(1, 0, 1)"	"(-1, 0, 0)"	"(0.000000, 1.000000, 0.500000)"
E	2	2	C2z	-1/4	"(0, -1, 1)"	"(0, 1, 0)"	"(0.000000, 1.000000, 0.500000)"
E	2	2	E	1/4	"(0, -1, 1)"	"(0, 1, 0)"	"(0.000000, -1.000000, 0.500000)"
E	2	2	C4z+	-1/4*I	"(1, 0, 1)"	"(-1, 0, 0)"	"(0.000000, -1.000000, 0.500000)"
E	2	2	C4z-	1/4*I	"(-1, 0, 1)"	"(1, 0, 0)"	"(0.000000, -1.000000, 0.500000)"
E	2	2	C2z	-1/4	"(0, 1, 1)"	"(0, -1, 0)"	"(0.000000, -1.000000, 0.500000)"
E	2	2	E	1/4	"(1, 0, 1)"	"(-1, 0, 0)"	"(1.000000, 0.000000, 0.500000)"
E	2	2	C4z+	-1/4*I	"(0, 1, 1)"	"(0, -1, 0)"	"(1.000000, 0.000000, 0.500000)"
E	2	2	C4z-	1/4*I	"(0, -1, 1)"	"(0, 1, 0)"	"(1.000000, 0.000000, 0.500000)"
E	2	2	C2z	-1/4	"(-1, 0, 1)"	"(1, 0, 0)"	"(1.000000, 0.000000, 0.500000)"
